Latitude;Longitude;Meters;kmh
59.8556;69.2042;12184;861
59.8653;69.0779;12192;861
59.8749;68.9513;12184;856
59.8884;68.7716;12192;850
59.8996;68.6175;12192;851
59.9099;68.4746;12192;855
59.9197;68.3377;12192;858
59.9325;68.1544;12192;861
59.9430;68.0002;12192;861
59.9516;67.8717;12192;858
59.9643;67.6774;12192;856
59.9744;67.5211;12184;855
59.9829;67.3861;12192;855
59.9950;67.1917;12192;850
60.0023;67.0700;12192;850
60.0099;66.9438;12192;851
60.0173;66.8170;12184;855
60.0245;66.6935;12192;858
60.0320;66.5615;12192;859
60.0406;66.4044;12184;858
60.0527;66.1784;12184;858
60.0596;66.0484;12184;859
60.0663;65.9195;12192;859
60.0727;65.7916;12184;861
60.0790;65.6641;12192;861
60.0852;65.5354;12192;863
60.0913;65.4077;12184;864
60.0973;65.2780;12184;859
60.1072;65.0557;12192;859
60.1129;64.9280;12192;859
60.1178;64.7994;12184;861
60.1205;64.6666;12192;863
60.1221;64.5361;12192;863
60.1239;64.4057;12192;864
60.1257;64.2777;12184;863
60.1273;64.1465;12192;861
60.1296;63.9654;12184;863
60.1311;63.8370;12184;861
60.1326;63.7090;12192;863
60.1339;63.5789;12192;863
60.1353;63.4071;12192;859
60.1362;63.2775;12192;861
60.1371;63.1477;12192;861
60.1377;63.0176;12192;864
60.1385;62.8875;12192;867
60.1389;62.7588;12192;871
60.1394;62.6273;12192;871
60.1397;62.4967;12184;869
60.1398;62.2824;12192;861
60.1397;62.1539;12192;863
60.1398;62.0262;12192;859
60.1397;61.8970;12192;856
60.1390;61.6532;12184;856
60.1386;61.5249;12184;851
60.1379;61.3973;12192;851
60.1372;61.2693;12192;851
60.1363;61.1429;12184;850
60.1350;60.9834;12192;850
60.1338;60.8455;12192;851
60.1325;60.7177;12184;856
60.1311;60.5892;12184;859
60.1291;60.4202;12184;858
60.1272;60.2820;12192;858
60.1254;60.1535;12192;859
60.1235;60.0264;12184;861
60.1210;59.8720;12184;859
60.1179;59.6968;12184;859
60.1145;59.5216;12192;863
60.1119;59.3907;12184;863
60.1092;59.2620;12192;863
60.1063;59.1324;12184;861
60.1035;59.0057;12192;859
60.1003;58.8753;12192;859
60.0971;58.7459;12192;863
